1	NC(CC1=CC2=CC=CC=C2C=C1)C(=O)O	InChI=1S/C13H13NO2/c14-12(13(15)16)8-9-5-6-10-3-1-2-4-11(10)7-9/h1-7,12H,8,14H2,(H,15,16)	JPZXHKDZASGCLU-UHFFFAOYSA-N
2	NC(CC1=CC=CC=N1)C(=O)O	InChI=1S/C8H10N2O2/c9-7(8(11)12)5-6-3-1-2-4-10-6/h1-4,7H,5,9H2,(H,11,12)	PDRJLZDUOULRHE-UHFFFAOYSA-N
3	NC(CC1=CN=CC=C1)C(=O)O	InChI=1S/C8H10N2O2/c9-7(8(11)12)4-6-2-1-3-10-5-6/h1-3,5,7H,4,9H2,(H,11,12)	DFZVZEMNPGABKO-UHFFFAOYSA-N
4	NC(CC1CC1)C(=O)O	InChI=1S/C6H11NO2/c7-5(6(8)9)3-4-1-2-4/h4-5H,1-3,7H2,(H,8,9)	XGUXJMWPVJQIHI-UHFFFAOYSA-N
5	CC(C)(C)CC(N)C(=O)O	InChI=1S/C7H15NO2/c1-7(2,3)4-5(8)6(9)10/h5H,4,8H2,1-3H3,(H,9,10)	LPBSHGLDBQBSPI-UHFFFAOYSA-N
6	NC(CC1=CSC=C1)C(=O)O	InChI=1S/C7H9NO2S/c8-6(7(9)10)3-5-1-2-11-4-5/h1-2,4,6H,3,8H2,(H,9,10)	VOIZSAUUYAGTMS-UHFFFAOYSA-N
7	NC(CN1C=CC=N1)C(=O)O	InChI=1S/C6H9N3O2/c7-5(6(10)11)4-9-3-1-2-8-9/h1-3,5H,4,7H2,(H,10,11)	PIGOPELHGLPKLL-UHFFFAOYSA-N
8	NC(CC1=CC=CC2=CC=CC=C12)C(=O)O	InChI=1S/C13H13NO2/c14-12(13(15)16)8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7,12H,8,14H2,(H,15,16)	OFYAYGJCPXRNBL-UHFFFAOYSA-N
9	NC(CC1=CC=CS1)C(=O)O	InChI=1S/C7H9NO2S/c8-6(7(9)10)4-5-2-1-3-11-5/h1-3,6H,4,8H2,(H,9,10)	WTOFYLAWDLQMBZ-UHFFFAOYSA-N
10	CC(N)(C(=O)O)C(F)(F)F	InChI=1S/C4H6F3NO2/c1-3(8,2(9)10)4(5,6)7/h8H2,1H3,(H,9,10)	JBQBFDPQDFDHEC-UHFFFAOYSA-N
11	C=CCCCC(C)(N)C(=O)O	InChI=1S/C8H15NO2/c1-3-4-5-6-8(2,9)7(10)11/h3H,1,4-6,9H2,2H3,(H,10,11)	AERCCJGORROTKW-UHFFFAOYSA-N
12	C=CCCCCCCC(C)(N)C(=O)O	InChI=1S/C11H21NO2/c1-3-4-5-6-7-8-9-11(2,12)10(13)14/h3H,1,4-9,12H2,2H3,(H,13,14)	JWZFECWHKQLRGK-UHFFFAOYSA-N
13	N#CCC(N)C(=O)O	InChI=1S/C4H6N2O2/c5-2-1-3(6)4(7)8/h3H,1,6H2,(H,7,8)	BXRLWGXPSRYJDZ-UHFFFAOYSA-N
14	NC(CC1CCCC1)C(=O)O	InChI=1S/C8H15NO2/c9-7(8(10)11)5-6-3-1-2-4-6/h6-7H,1-5,9H2,(H,10,11)	KDYAKYRBGLKMAK-UHFFFAOYSA-N
15	NC(CC1=CSC=N1)C(=O)O	InChI=1S/C6H8N2O2S/c7-5(6(9)10)1-4-2-11-3-8-4/h2-3,5H,1,7H2,(H,9,10)	WBZIGVCQRXJYQD-UHFFFAOYSA-N
16	NC(CC1=CN=CS1)C(=O)O	InChI=1S/C6H8N2O2S/c7-5(6(9)10)1-4-2-8-3-11-4/h2-3,5H,1,7H2,(H,9,10)	XEGDVXZYFYKJJR-UHFFFAOYSA-N
17	NC(CC1CCC1)C(=O)O	InChI=1S/C7H13NO2/c8-6(7(9)10)4-5-2-1-3-5/h5-6H,1-4,8H2,(H,9,10)	SRGOJUDAJKUDAZ-UHFFFAOYSA-N
18	NC(CC1=CC=NC=C1)C(=O)O	InChI=1S/C8H10N2O2/c9-7(8(11)12)5-6-1-3-10-4-2-6/h1-4,7H,5,9H2,(H,11,12)	FQFVANSXYKWQOT-UHFFFAOYSA-N
19	NC(CC(F)F)C(=O)O	InChI=1S/C4H7F2NO2/c5-3(6)1-2(7)4(8)9/h2-3H,1,7H2,(H,8,9)	VIUCNIMDPZQXAD-UHFFFAOYSA-N
20	NC(CCCC(=O)O)C(=O)O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	OYIFNHCXNCRBQI-UHFFFAOYSA-N
21	N=C(O)NC1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C10H13N3O3/c11-8(9(14)15)5-6-1-3-7(4-2-6)13-10(12)16/h1-4,8H,5,11H2,(H,14,15)(H3,12,13,16)	ZTAKYRNNPKFXGS-UHFFFAOYSA-N
22	N=C(N)NCCCCC(N)C(=O)O	InChI=1S/C7H16N4O2/c8-5(6(12)13)3-1-2-4-11-7(9)10/h5H,1-4,8H2,(H,12,13)(H4,9,10,11)	QUOGESRFPZDMMT-UHFFFAOYSA-N
23	CCC(N)C(=O)O	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)	QWCKQJZIFLGMSD-UHFFFAOYSA-N
24	CC(C)(N)C(=O)O	InChI=1S/C4H9NO2/c1-4(2,5)3(6)7/h5H2,1-2H3,(H,6,7)	FUOOLUPWFVMBKG-UHFFFAOYSA-N
25	NCCCSCC(N)C(=O)O	InChI=1S/C6H14N2O2S/c7-2-1-3-11-4-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)	KLGFHUHSBPGOAU-UHFFFAOYSA-N
26	NCC(N)C(=O)O	InChI=1S/C3H8N2O2/c4-1-2(5)3(6)7/h2H,1,4-5H2,(H,6,7)	PECYZEOJVXMISF-UHFFFAOYSA-N
27	NC(C(=O)O)C1=CC=CS1	InChI=1S/C6H7NO2S/c7-5(6(8)9)4-2-1-3-10-4/h1-3,5H,7H2,(H,8,9)	XLMSKXASROPJNG-UHFFFAOYSA-N
28	NC(C(=O)O)C1=CSC=C1	InChI=1S/C6H7NO2S/c7-5(6(8)9)4-1-2-10-3-4/h1-3,5H,7H2,(H,8,9)	BVGBBSAQOQTNGF-UHFFFAOYSA-N
29	NC(C(=O)O)C1=CC=CC=C1	InChI=1S/C8H9NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5,7H,9H2,(H,10,11)	ZGUNAGUHMKGQNY-UHFFFAOYSA-N
30	C=CCOCC(N)C(=O)O	InChI=1S/C6H11NO3/c1-2-3-10-4-5(7)6(8)9/h2,5H,1,3-4,7H2,(H,8,9)	PLTOASLATKFEBR-UHFFFAOYSA-N
31	NC(C[SeH])C(=O)O	InChI=1S/C3H7NO2Se/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)	ZKZBPNGNEQAJSX-UHFFFAOYSA-N
32	NC(CC1=C2C=CC=CC2=CC2=CC=CC=C12)C(=O)O	InChI=1S/C17H15NO2/c18-16(17(19)20)10-15-13-7-3-1-5-11(13)9-12-6-2-4-8-14(12)15/h1-9,16H,10,18H2,(H,19,20)	MRVJUNXMEDRMRO-UHFFFAOYSA-N
33	NC1(C(=O)O)CC1	InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)	PAJPWUMXBYXFCZ-UHFFFAOYSA-N
34	NC1(C(=O)O)CCC1	InChI=1S/C5H9NO2/c6-5(4(7)8)2-1-3-5/h1-3,6H2,(H,7,8)	FVTVMQPGKVHSEY-UHFFFAOYSA-N
35	C=CCC(N)C(=O)O	InChI=1S/C5H9NO2/c1-2-3-4(6)5(7)8/h2,4H,1,3,6H2,(H,7,8)	WNNNWFKQCKFSDK-UHFFFAOYSA-N
36	O=C(O)C1CC2=CC=CC=C2N1	InChI=1S/C9H9NO2/c11-9(12)8-5-6-3-1-2-4-7(6)10-8/h1-4,8,10H,5H2,(H,11,12)	QNRXNRGSOJZINA-UHFFFAOYSA-N
37	CCCCC(N)C(=O)O	InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)	LRQKBLKVPFOOQJ-UHFFFAOYSA-N
38	CCCC(N)C(=O)O	InChI=1S/C5H11NO2/c1-2-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	SNDPXSYFESPGGJ-UHFFFAOYSA-N
39	CC(C)(S)C(N)C(=O)O	InChI=1S/C5H11NO2S/c1-5(2,9)3(6)4(7)8/h3,9H,6H2,1-2H3,(H,7,8)	VVNCNSJFMMFHPL-UHFFFAOYSA-N
40	NC(CC1=CC(Cl)=CC=C1)C(=O)O	InChI=1S/C9H10ClNO2/c10-7-3-1-2-6(4-7)5-8(11)9(12)13/h1-4,8H,5,11H2,(H,12,13)	JJDJLFDGCUYZMN-UHFFFAOYSA-N
41	NC(CC1=CC=C(Cl)C=C1)C(=O)O	InChI=1S/C9H10ClNO2/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8H,5,11H2,(H,12,13)	NIGWMJHCCYYCSF-UHFFFAOYSA-N
42	NC(CC1=CC(Br)=CC=C1)C(=O)O	InChI=1S/C9H10BrNO2/c10-7-3-1-2-6(4-7)5-8(11)9(12)13/h1-4,8H,5,11H2,(H,12,13)	GDMOHOYNMWWBAU-UHFFFAOYSA-N
43	NC(CC1=CC=C(Br)C=C1)C(=O)O	InChI=1S/C9H10BrNO2/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8H,5,11H2,(H,12,13)	PEMUHKUIQHFMTH-UHFFFAOYSA-N
44	N#CC1=CC=CC(CC(N)C(=O)O)=C1	InChI=1S/C10H10N2O2/c11-6-8-3-1-2-7(4-8)5-9(12)10(13)14/h1-4,9H,5,12H2,(H,13,14)	ZHUOMTMPTNZOJE-UHFFFAOYSA-N
45	NC(CC1=CC(F)=CC=C1)C(=O)O	InChI=1S/C9H10FNO2/c10-7-3-1-2-6(4-7)5-8(11)9(12)13/h1-4,8H,5,11H2,(H,12,13)	VWHRYODZTDMVSS-UHFFFAOYSA-N
46	NC(CC1=C(F)C=C(C(F)(F)F)C=C1)C(=O)O	InChI=1S/C10H9F4NO2/c11-7-4-6(10(12,13)14)2-1-5(7)3-8(15)9(16)17/h1-2,4,8H,3,15H2,(H,16,17)	OMTZLRBOGCVOEM-UHFFFAOYSA-N
47	NC(CC1=CC=C(I)C=C1)C(=O)O	InChI=1S/C9H10INO2/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8H,5,11H2,(H,12,13)	PZNQZSRPDOEBMS-UHFFFAOYSA-N
48	CC1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C10H13NO2/c1-7-2-4-8(5-3-7)6-9(11)10(12)13/h2-5,9H,6,11H2,1H3,(H,12,13)	DQLHSFUMICQIMB-UHFFFAOYSA-N
49	NC1=CC=CC(CC(N)C(=O)O)=C1	InChI=1S/C9H12N2O2/c10-7-3-1-2-6(4-7)5-8(11)9(12)13/h1-4,8H,5,10-11H2,(H,12,13)	DDLYNVBJVVOUGB-UHFFFAOYSA-N
50	NC1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C9H12N2O2/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8H,5,10-11H2,(H,12,13)	CMUHFUGDYMFHEI-UHFFFAOYSA-N
51	NC(CC1=CC(C2CC2)=CC=C1)C(=O)O	InChI=1S/C12H15NO2/c13-11(12(14)15)7-8-2-1-3-10(6-8)9-4-5-9/h1-3,6,9,11H,4-5,7,13H2,(H,14,15)	YZLGSWFYMJNKHQ-UHFFFAOYSA-N
52	NC(C(=O)O)C1=CC=C(O)C=C1	InChI=1S/C8H9NO3/c9-7(8(11)12)5-1-3-6(10)4-2-5/h1-4,7,10H,9H2,(H,11,12)	LJCWONGJFPCTTL-UHFFFAOYSA-N
53	C#CCC(N)C(=O)O	InChI=1S/C5H7NO2/c1-2-3-4(6)5(7)8/h1,4H,3,6H2,(H,7,8)	DGYHPLMPMRKMPD-UHFFFAOYSA-N
54	NC(CCO)C(=O)O	InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)	UKAUYVFTDYCKQA-UHFFFAOYSA-N
55	NC(CC1=C[NH]C2=C1C=C(Cl)C=C2)C(=O)O	InChI=1S/C11H11ClN2O2/c12-7-1-2-10-8(4-7)6(5-14-10)3-9(13)11(15)16/h1-2,4-5,9,14H,3,13H2,(H,15,16)	TUKKZLIDCNWKIN-UHFFFAOYSA-N
56	NC(CC1=C[NH]C2=CC=CC(Br)=C12)C(=O)O	InChI=1S/C11H11BrN2O2/c12-7-2-1-3-9-10(7)6(5-14-9)4-8(13)11(15)16/h1-3,5,8,14H,4,13H2,(H,15,16)	OFKIVYVSESEHFZ-UHFFFAOYSA-N
57	NC(CC1=C[NH]C2=C1C=C(Br)C=C2)C(=O)O	InChI=1S/C11H11BrN2O2/c12-7-1-2-10-8(4-7)6(5-14-10)3-9(13)11(15)16/h1-2,4-5,9,14H,3,13H2,(H,15,16)	KZDNJQUJBMDHJW-UHFFFAOYSA-N
58	NC(CC1=C[NH]C2=C1C=CC(Br)=C2)C(=O)O	InChI=1S/C11H11BrN2O2/c12-7-1-2-8-6(3-9(13)11(15)16)5-14-10(8)4-7/h1-2,4-5,9,14H,3,13H2,(H,15,16)	OAORYCZPERQARS-UHFFFAOYSA-N
59	NC(CC1=C[NH]C2=C1C=CC(Cl)=C2)C(=O)O	InChI=1S/C11H11ClN2O2/c12-7-1-2-8-6(3-9(13)11(15)16)5-14-10(8)4-7/h1-2,4-5,9,14H,3,13H2,(H,15,16)	FICLVQOYKYBXFN-UHFFFAOYSA-N
60	CC1=CC2=C(C=C1)C(CC(N)C(=O)O)=C[NH]2	InChI=1S/C12H14N2O2/c1-7-2-3-9-8(5-10(13)12(15)16)6-14-11(9)4-7/h2-4,6,10,14H,5,13H2,1H3,(H,15,16)	GDMRVYIFGPMUCG-UHFFFAOYSA-N
61	CC1=C2[NH]C=C(CC(N)C(=O)O)C2=CC=C1	InChI=1S/C12H14N2O2/c1-7-3-2-4-9-8(6-14-11(7)9)5-10(13)12(15)16/h2-4,6,10,14H,5,13H2,1H3,(H,15,16)	KBOZNJNHBBROHM-UHFFFAOYSA-N
62	NC(CC1=C[NH]C2=C1C=CC(F)=C2)C(=O)O	InChI=1S/C11H11FN2O2/c12-7-1-2-8-6(3-9(13)11(15)16)5-14-10(8)4-7/h1-2,4-5,9,14H,3,13H2,(H,15,16)	YMEXGEAJNZRQEH-UHFFFAOYSA-N
63	COC1=CC2=C(C=C1)C(CC(N)C(=O)O)=C[NH]2	InChI=1S/C12H14N2O3/c1-17-8-2-3-9-7(4-10(13)12(15)16)6-14-11(9)5-8/h2-3,5-6,10,14H,4,13H2,1H3,(H,15,16)	ASMBUJRMSWTSLE-UHFFFAOYSA-N
64	COC1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C10H13NO3/c1-14-8-4-2-7(3-5-8)6-9(11)10(12)13/h2-5,9H,6,11H2,1H3,(H,12,13)	GEYBMYRBIABFTA-UHFFFAOYSA-N
65	NC(CC1=CC(O)=CC=C1)C(=O)O	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-2-1-3-7(11)4-6/h1-4,8,11H,5,10H2,(H,12,13)	JZKXXXDKRQWDET-UHFFFAOYSA-N
66	CS(=O)(=O)C1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C10H13NO4S/c1-16(14,15)8-4-2-7(3-5-8)6-9(11)10(12)13/h2-5,9H,6,11H2,1H3,(H,12,13)	GZDZCAIRTNYHPW-UHFFFAOYSA-N
67	NC(CI)C(=O)O	InChI=1S/C3H6INO2/c4-1-2(5)3(6)7/h2H,1,5H2,(H,6,7)	DIZAJUVUZKMLQL-UHFFFAOYSA-N
68	NC(C(=O)O)C1=CC(F)=CC=C1	InChI=1S/C8H8FNO2/c9-6-3-1-2-5(4-6)7(10)8(11)12/h1-4,7H,10H2,(H,11,12)	LVYBCZIDQKJNFP-UHFFFAOYSA-N
69	CC(=O)OC1=CC=C(C(N)C(=O)O)C=C1	InChI=1S/C10H11NO4/c1-6(12)15-8-4-2-7(3-5-8)9(11)10(13)14/h2-5,9H,11H2,1H3,(H,13,14)	TWZNJCSIEBHBAT-UHFFFAOYSA-N
70	NC(CC1=CC=CC=C1F)C(=O)O	InChI=1S/C9H10FNO2/c10-7-4-2-1-3-6(7)5-8(11)9(12)13/h1-4,8H,5,11H2,(H,12,13)	NYCRCTMDYITATC-UHFFFAOYSA-N
71	O=C(O)C1CCCCN1	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)	HXEACLLIILLPRG-UHFFFAOYSA-N
