1	NC(CC1=CC2=CC=CC=C2C=C1)C(=O)O	InChI=1S/C13H13NO2/c14-12(13(15)16)8-9-5-6-10-3-1-2-4-11(10)7-9/h1-7,12H,8,14H2,(H,15,16)	JPZXHKDZASGCLU-UHFFFAOYSA-N
72	NC(CC1=CC=C([N+](=O)[O-])C=C1)C(=O)O	InChI=1S/C9H10N2O4/c10-8(9(12)13)5-6-1-3-7(4-2-6)11(14)15/h1-4,8H,5,10H2,(H,12,13)	GTVVZTAFGPQSPC-UHFFFAOYSA-N
73	NC(CC1=CC(F)=C(F)C=C1)C(=O)O	InChI=1S/C9H9F2NO2/c10-6-2-1-5(3-7(6)11)4-8(12)9(13)14/h1-3,8H,4,12H2,(H,13,14)	PRAWYXDDKCVZTL-UHFFFAOYSA-N
74	CC(C)(C)C(N)C(=O)O	InChI=1S/C6H13NO2/c1-6(2,3)4(7)5(8)9/h4H,7H2,1-3H3,(H,8,9)	NPDBDJFLKKQMCM-UHFFFAOYSA-N
75	NC(CC1=CC(I)=C(O)C(I)=C1)C(=O)O	InChI=1S/C9H9I2NO3/c10-5-1-4(2-6(11)8(5)13)3-7(12)9(14)15/h1-2,7,13H,3,12H2,(H,14,15)	NYPYHUZRZVSYKL-UHFFFAOYSA-N
76	NC(CC1=CC=C(C(=O)C2=CC=CC=C2)C=C1)C(=O)O	InChI=1S/C16H15NO3/c17-14(16(19)20)10-11-6-8-13(9-7-11)15(18)12-4-2-1-3-5-12/h1-9,14H,10,17H2,(H,19,20)	TVIDEEHSOPHZBR-UHFFFAOYSA-N
77	NC(CC1=CC([N+](=O)[O-])=C(O)C=C1)C(=O)O	InChI=1S/C9H10N2O5/c10-6(9(13)14)3-5-1-2-8(12)7(4-5)11(15)16/h1-2,4,6,12H,3,10H2,(H,13,14)	FBTSQILOGYXGMD-UHFFFAOYSA-N
78	NC(CCC1=CC=CC=C1)C(=O)O	InChI=1S/C10H13NO2/c11-9(10(12)13)7-6-8-4-2-1-3-5-8/h1-5,9H,6-7,11H2,(H,12,13)	JTTHKOPSMAVJFE-UHFFFAOYSA-N
79	COC1=C(O)C=CC(CC(N)C(=O)O)=C1	InChI=1S/C10H13NO4/c1-15-9-5-6(2-3-8(9)12)4-7(11)10(13)14/h2-3,5,7,12H,4,11H2,1H3,(H,13,14)	PFDUUKDQEHURQC-UHFFFAOYSA-N
80	O=C(O)C1CC2=CC=CC=C2CN1	InChI=1S/C10H11NO2/c12-10(13)9-5-7-3-1-2-4-8(7)6-11-9/h1-4,9,11H,5-6H2,(H,12,13)	BWKMGYQJPOAASG-UHFFFAOYSA-N
81	N=C(O)NCCCC(N)C(=O)O	InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)	RHGKLRLOHDJJDR-UHFFFAOYSA-N
82	NCCCC(N)C(=O)O	InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)	AHLPHDHHMVZTML-UHFFFAOYSA-N
83	O=C(O)C1CCC(O)=N1	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	ODHCTXKNWHHXJC-UHFFFAOYSA-N
84	C[Se]CCC(N)C(=O)O	InChI=1S/C5H11NO2Se/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	RJFAYQIBOAGBLC-UHFFFAOYSA-N
85	NC(CC1=CN=C(C2=CC=CC=N2)C=C1)C(=O)O	InChI=1S/C13H13N3O2/c14-10(13(17)18)7-9-4-5-12(16-8-9)11-3-1-2-6-15-11/h1-6,8,10H,7,14H2,(H,17,18)	VWTQURBMIRJISI-UHFFFAOYSA-N
86	CCCCSSCC(N)C(=O)O	InChI=1S/C7H15NO2S2/c1-2-3-4-11-12-5-6(8)7(9)10/h6H,2-5,8H2,1H3,(H,9,10)	XWJGTZVISFJZPH-UHFFFAOYSA-N
87	CCCCCSSCC(N)C(=O)O	InChI=1S/C8H17NO2S2/c1-2-3-4-5-12-13-6-7(9)8(10)11/h7H,2-6,9H2,1H3,(H,10,11)	QFYJSCJLKKAFDH-UHFFFAOYSA-N
88	CCSSCC(N)C(=O)O	InChI=1S/C5H11NO2S2/c1-2-9-10-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	YIMFYOCZTDBZJL-UHFFFAOYSA-N
89	CCCSSCC(N)C(=O)O	InChI=1S/C6H13NO2S2/c1-2-3-10-11-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)	JVVXIPKJTDVPQZ-UHFFFAOYSA-N
90	CSSCC(N)C(=O)O	InChI=1S/C4H9NO2S2/c1-8-9-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)	PYFNLWPQPNXHCS-UHFFFAOYSA-N
91	NC(CSSC1CCCCC1)C(=O)O	InChI=1S/C9H17NO2S2/c10-8(9(11)12)6-13-14-7-4-2-1-3-5-7/h7-8H,1-6,10H2,(H,11,12)	DYOSZCUUPLADPV-UHFFFAOYSA-N
92	NC(CSSC1CCCC1)C(=O)O	InChI=1S/C8H15NO2S2/c9-7(8(10)11)5-12-13-6-3-1-2-4-6/h6-7H,1-5,9H2,(H,10,11)	YZTTYCHSXMGEER-UHFFFAOYSA-N
93	NC(CSSCCF)C(=O)O	InChI=1S/C5H10FNO2S2/c6-1-2-10-11-3-4(7)5(8)9/h4H,1-3,7H2,(H,8,9)	KQUQTCUPTPNNHF-UHFFFAOYSA-N
94	NC(CSSCCO)C(=O)O	InChI=1S/C5H11NO3S2/c6-4(5(8)9)3-11-10-2-1-7/h4,7H,1-3,6H2,(H,8,9)	YPUBRSXDQSFQBA-UHFFFAOYSA-N
95	NC(CCC1=CC(=O)OC2=C1C=CC(O)=C2)C(=O)O	InChI=1S/C13H13NO5/c14-10(13(17)18)4-1-7-5-12(16)19-11-6-8(15)2-3-9(7)11/h2-3,5-6,10,15H,1,4,14H2,(H,17,18)	QEQAKQQRJFWPOR-UHFFFAOYSA-N
96	CC(=O)C1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C11H13NO3/c1-7(13)9-4-2-8(3-5-9)6-10(12)11(14)15/h2-5,10H,6,12H2,1H3,(H,14,15)	ZXSBHXZKWRIEIA-UHFFFAOYSA-N
97	C[N+](C)(C)CCCCC(N)C(=O)O	InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/p+1	MXNRLFUSFKVQSK-UHFFFAOYSA-O
98	N#CC1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C10H10N2O2/c11-6-8-3-1-7(2-4-8)5-9(12)10(13)14/h1-4,9H,5,12H2,(H,13,14)	KWIPUXXIFQQMKN-UHFFFAOYSA-N
99	N=[N+]=NCCOC1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C11H14N4O3/c12-10(11(16)17)7-8-1-3-9(4-2-8)18-6-5-14-15-13/h1-4,10,13H,5-7,12H2/p+1	VEKASIBNRYZXIE-UHFFFAOYSA-O
100	C/C(=NCCCCC(N)C(=O)O)C(=O)O	InChI=1S/C9H16N2O4/c1-6(8(12)13)11-5-3-2-4-7(10)9(14)15/h7H,2-5,10H2,1H3,(H,12,13)(H,14,15)/b11-6+	JXBWDTJQFXOTMZ-IZZDOVSWSA-N
101	C/C(=NCCSCC(N)C(=O)O)C(=O)O	InChI=1S/C8H14N2O4S/c1-5(7(11)12)10-2-3-15-4-6(9)8(13)14/h6H,2-4,9H2,1H3,(H,11,12)(H,13,14)/b10-5+	GXEFLMSEGCZSFI-BJMVGYQFSA-N
102	NCCSCC(N)C(=O)O	InChI=1S/C5H12N2O2S/c6-1-2-10-3-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)	GHSJKUNUIHUPDF-UHFFFAOYSA-N
103	NC(CC1=C[NH]C2=C1C=C(F)C=C2)C(=O)O	InChI=1S/C11H11FN2O2/c12-7-1-2-10-8(4-7)6(5-14-10)3-9(13)11(15)16/h1-2,4-5,9,14H,3,13H2,(H,15,16)	INPQIVHQSQUEAJ-UHFFFAOYSA-N
104	NC(CC1=CC=C(B(O)O)C=C1)C(=O)O	InChI=1S/C9H12BNO4/c11-8(9(12)13)5-6-1-3-7(4-2-6)10(14)15/h1-4,8,14-15H,5,11H2,(H,12,13)	NFIVJOSXJDORSP-UHFFFAOYSA-N
105	[N-]=[N+]=NC1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C9H10N4O2/c10-8(9(14)15)5-6-1-3-7(4-2-6)12-13-11/h1-4,8H,5,10H2,(H,14,15)	NEMHIKRLROONTL-UHFFFAOYSA-N
106	NC(CC1=CN=C2C(O)=CC=CC2=C1)C(=O)O	InChI=1S/C12H12N2O3/c13-9(12(16)17)5-7-4-8-2-1-3-10(15)11(8)14-6-7/h1-4,6,9,15H,5,13H2,(H,16,17)	XLOULZPUVVVWES-UHFFFAOYSA-N
107	O=C(O)C1CC(F)CN1	InChI=1S/C5H8FNO2/c6-3-1-4(5(8)9)7-2-3/h3-4,7H,1-2H2,(H,8,9)	ZIWHMENIDGOELV-UHFFFAOYSA-N
108	NC(CC1=CC=C(C2(C(F)(F)F)NN2)C=C1)C(=O)O	InChI=1S/C11H12F3N3O2/c12-11(13,14)10(16-17-10)7-3-1-6(2-4-7)5-8(15)9(18)19/h1-4,8,16-17H,5,15H2,(H,18,19)	XCRAOXMHVJUSSJ-UHFFFAOYSA-N
109	NC(CC1=CC=C(CC(F)(F)F)C=C1)C(=O)O	InChI=1S/C11H12F3NO2/c12-11(13,14)6-8-3-1-7(2-4-8)5-9(15)10(16)17/h1-4,9H,5-6,15H2,(H,16,17)	VXIZYDKGLBPCAQ-UHFFFAOYSA-N
110	NC(CC1=CC(N2C=CC=N2)=C(O)C=C1)C(=O)O	InChI=1S/C12H13N3O3/c13-9(12(17)18)6-8-2-3-11(16)10(7-8)15-5-1-4-14-15/h1-5,7,9,16H,6,13H2,(H,17,18)	OYFZMNFXVOYLDW-UHFFFAOYSA-N
111	O=C(O)C1CC(O)CN1	InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)	PMMYEEVYMWASQN-UHFFFAOYSA-N
112	NC(CC1=CC=C(N2N=CN=N2)C=C1)C(=O)O	InChI=1S/C10H11N5O2/c11-9(10(16)17)5-7-1-3-8(4-2-7)15-13-6-12-14-15/h1-4,6,9H,5,11H2,(H,16,17)	KHTQUIIGXJUWFB-UHFFFAOYSA-N
113	NC(CC1=CC(F)=C(O)C(F)=C1F)C(=O)O	InChI=1S/C9H8F3NO3/c10-4-1-3(2-5(13)9(15)16)6(11)7(12)8(4)14/h1,5,14H,2,13H2,(H,15,16)	AUJOGVIKYBGMRE-UHFFFAOYSA-N
114	NC(CC1=CC(F)=C(O)C(F)=C1)C(=O)O	InChI=1S/C9H9F2NO3/c10-5-1-4(2-6(11)8(5)13)3-7(12)9(14)15/h1-2,7,13H,3,12H2,(H,14,15)	KPKMCRFCNWVLDA-UHFFFAOYSA-N
115	NC(CC1=CC=C(NNC2=CC=CC=C2)C=C1)C(=O)O	InChI=1S/C15H17N3O2/c16-14(15(19)20)10-11-6-8-13(9-7-11)18-17-12-4-2-1-3-5-12/h1-9,14,17-18H,10,16H2,(H,19,20)	ZLWCHZVFSZLPBY-UHFFFAOYSA-N
116	NC(CC1=CC=C(C2=CC=CC=C2)C=C1)C(=O)O	InChI=1S/C15H15NO2/c16-14(15(17)18)10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-9,14H,10,16H2,(H,17,18)	JCZLABDVDPYLRZ-UHFFFAOYSA-N
117	NC(CC1=CC(I)=C(O)C=C1)C(=O)O	InChI=1S/C9H10INO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3,7,12H,4,11H2,(H,13,14)	UQTZMGFTRHFAAM-UHFFFAOYSA-N
118	NC(CC1=CC(Cl)=C(O)C=C1)C(=O)O	InChI=1S/C9H10ClNO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3,7,12H,4,11H2,(H,13,14)	ACWBBAGYTKWBCD-UHFFFAOYSA-N
119	NC(CC1=CC(Br)=C(O)C=C1)C(=O)O	InChI=1S/C9H10BrNO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3,7,12H,4,11H2,(H,13,14)	HGWOSUKIFQMEIF-UHFFFAOYSA-N
120	NC(CC1=C(F)C(F)=C(O)C=C1F)C(=O)O	InChI=1S/C9H8F3NO3/c10-4-2-6(14)8(12)7(11)3(4)1-5(13)9(15)16/h2,5,14H,1,13H2,(H,15,16)	LVKGBSFEYFVENX-UHFFFAOYSA-N
121	NC(CC1=C(F)C(F)=C(O)C=C1)C(=O)O	InChI=1S/C9H9F2NO3/c10-7-4(3-5(12)9(14)15)1-2-6(13)8(7)11/h1-2,5,13H,3,12H2,(H,14,15)	XWNMQLVJIYFCFZ-UHFFFAOYSA-N
122	NC(CC1=C(F)C(F)=C(F)C(F)=C1F)C(=O)O	InChI=1S/C9H6F5NO2/c10-4-2(1-3(15)9(16)17)5(11)7(13)8(14)6(4)12/h3H,1,15H2,(H,16,17)	YYTDJPUFAVPHQA-UHFFFAOYSA-N
123	NC(CC1=CC(F)=C(O)C=C1)C(=O)O	InChI=1S/C9H10FNO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3,7,12H,4,11H2,(H,13,14)	VIIAUOZUUGXERI-UHFFFAOYSA-N
124	CC(OP(=O)(O)O)C(N)C(=O)O	InChI=1S/C4H10NO6P/c1-2(3(5)4(6)7)11-12(8,9)10/h2-3H,5H2,1H3,(H,6,7)(H2,8,9,10)	USRGIUJOYOXOQJ-UHFFFAOYSA-N
125	N=[N+]=NCCC(N)C(=O)O	InChI=1S/C4H8N4O2/c5-3(4(9)10)1-2-7-8-6/h3,6H,1-2,5H2/p+1	ZYCQYIKWMNNPJE-UHFFFAOYSA-O
126	NC(CC1=CC(Cl)=C(O)C(Cl)=C1)C(=O)O	InChI=1S/C9H9Cl2NO3/c10-5-1-4(2-6(11)8(5)13)3-7(12)9(14)15/h1-2,7,13H,3,12H2,(H,14,15)	MPHURJQUHZHALJ-UHFFFAOYSA-N
127	CC(C)(Br)C(=O)NC1=CC=C(CC(N)C(=O)O)C=C1	InChI=1S/C13H17BrN2O3/c1-13(2,14)12(19)16-9-5-3-8(4-6-9)7-10(15)11(17)18/h3-6,10H,7,15H2,1-2H3,(H,16,19)(H,17,18)	ZKDRICVKKZOGNC-UHFFFAOYSA-N
128	NC(CSCC(O)CO)C(=O)O	InChI=1S/C6H13NO4S/c7-5(6(10)11)3-12-2-4(9)1-8/h4-5,8-9H,1-3,7H2,(H,10,11)	GPWYBXDQHZIBPR-UHFFFAOYSA-N
129	CC(C)CC(C)(N)C(=O)O	InChI=1S/C7H15NO2/c1-5(2)4-7(3,8)6(9)10/h5H,4,8H2,1-3H3,(H,9,10)	ARSWQPLPYROOBG-UHFFFAOYSA-N
130	O=C(O)C1CC=CN1	InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h1,3-4,6H,2H2,(H,7,8)	NXOIMAMHRHDCFR-UHFFFAOYSA-N
131	NC(CC1=CC=C(NC(=O)C2CC/C=C/CCC2)C=C1)C(=O)O	InChI=1S/C18H24N2O3/c19-16(18(22)23)12-13-8-10-15(11-9-13)20-17(21)14-6-4-2-1-3-5-7-14/h1-2,8-11,14,16H,3-7,12,19H2,(H,20,21)(H,22,23)/b2-1+	NTVNNTNXRKFWIK-OWOJBTEDSA-N
132	NC(CCC(O)=NC(CS)C(O)=NCC(=O)O)C(=O)O	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)	RWSXRVCMGQZWBV-UHFFFAOYSA-N
133	CC1=NC=C(COP(=O)(O)O)C(/C=N/CCCCC(N)C(=O)O)=C1O	InChI=1S/C14H22N3O7P/c1-9-13(18)11(10(6-17-9)8-24-25(21,22)23)7-16-5-3-2-4-12(15)14(19)20/h6-7,12,18H,2-5,8,15H2,1H3,(H,19,20)(H2,21,22,23)/b16-7+	YQSOQJORMNSDJL-FRKPEAEDSA-N
134	CC(O)=NCCCCC(N)C(=O)O	InChI=1S/C8H16N2O3/c1-6(11)10-5-3-2-4-7(9)8(12)13/h7H,2-5,9H2,1H3,(H,10,11)(H,12,13)	DTERQYGMUDWYAZ-UHFFFAOYSA-N
135	NC(CC1=CC=C(OP(=O)(O)O)C=C1)C(=O)O	InChI=1S/C9H12NO6P/c10-8(9(11)12)5-6-1-3-7(4-2-6)16-17(13,14)15/h1-4,8H,5,10H2,(H,11,12)(H2,13,14,15)	DCWXELXMIBXGTH-UHFFFAOYSA-N
139	CC(=O)OCC(N)C(=O)O	InChI=1S/C5H9NO4/c1-3(7)10-2-4(6)5(8)9/h4H,2,6H2,1H3,(H,8,9)	VZXPDPZARILFQX-UHFFFAOYSA-N
